step,vehicle_count,traffic_density
0,6,Low
1,8,Low
2,8,Low
3,6,Low
4,6,Low
5,8,Low
6,10,Low
7,8,Low
8,8,Low
9,9,Low
10,9,Low
11,10,Low
12,7,Low
13,7,Low
14,7,Low
15,7,Low
16,7,Low
17,8,Low
18,7,Low
19,6,Low
20,9,Low
21,9,Low
22,8,Low
23,8,Low
24,7,Low
25,7,Low
26,8,Low
27,6,Low
28,7,Low
29,5,Low
30,7,Low
31,5,Low
32,5,Low
33,6,Low
34,7,Low
35,8,Low
36,7,Low
37,7,Low
38,6,Low
39,7,Low
40,8,Low
41,7,Low
42,7,Low
43,8,Low
44,6,Low
45,7,Low
46,7,Low
47,7,Low
48,7,Low
49,6,Low
50,7,Low
51,7,Low
52,8,Low
53,7,Low
54,8,Low
55,8,Low
56,8,Low
57,8,Low
58,6,Low
59,7,Low
60,9,Low
61,8,Low
62,6,Low
63,6,Low
64,6,Low
65,10,Low
66,9,Low
67,7,Low
68,8,Low
69,8,Low
70,8,Low
71,7,Low
72,8,Low
73,9,Low
74,9,Low
75,9,Low
76,10,Low
77,9,Low
78,9,Low
79,11,Medium
80,9,Low
81,9,Low
82,9,Low
83,9,Low
84,10,Low
85,8,Low
86,11,Medium
87,9,Low
88,10,Low
89,9,Low
90,10,Low
91,9,Low
92,9,Low
93,9,Low
94,8,Low
95,9,Low
96,9,Low
97,9,Low
98,10,Low
99,10,Low
100,11,Medium
101,11,Medium
102,11,Medium
103,12,Medium
104,11,Medium
105,10,Low
106,11,Medium
107,10,Low
108,12,Medium
109,11,Medium
110,10,Low
111,11,Medium
112,10,Low
113,11,Medium
114,10,Low
115,10,Low
116,9,Low
117,10,Low
118,10,Low
119,9,Low
120,9,Low
121,10,Low
122,9,Low
123,10,Low
124,10,Low
125,9,Low
126,8,Low
127,10,Low
128,8,Low
129,7,Low
130,8,Low
131,9,Low
132,11,Medium
133,9,Low
134,7,Low
135,10,Low
136,8,Low
137,9,Low
138,9,Low
139,7,Low
140,7,Low
141,7,Low
142,9,Low
143,7,Low
144,9,Low
145,8,Low
146,11,Medium
147,11,Medium
148,9,Low
149,8,Low
150,8,Low
151,10,Low
152,9,Low
153,9,Low
154,9,Low
155,9,Low
156,9,Low
157,8,Low
158,8,Low
159,6,Low
160,8,Low
161,7,Low
162,8,Low
163,8,Low
164,7,Low
165,8,Low
166,8,Low
167,7,Low
168,7,Low
169,7,Low
170,7,Low
171,7,Low
172,7,Low
173,8,Low
174,8,Low
175,6,Low
176,7,Low
177,6,Low
178,7,Low
179,6,Low
180,6,Low
181,7,Low
182,7,Low
183,7,Low
184,6,Low
185,8,Low
186,6,Low
187,7,Low
188,6,Low
189,6,Low
190,6,Low
191,6,Low
192,7,Low
193,6,Low
194,5,Low
195,6,Low
196,5,Low
197,6,Low
198,7,Low
199,7,Low
200,7,Low
201,7,Low
202,8,Low
203,10,Low
204,8,Low
205,8,Low
206,7,Low
207,8,Low
208,8,Low
209,8,Low
210,8,Low
211,8,Low
212,8,Low
213,7,Low
214,7,Low
215,7,Low
216,7,Low
217,8,Low
218,7,Low
219,7,Low
220,8,Low
221,8,Low
222,9,Low
223,9,Low
224,9,Low
225,9,Low
226,9,Low
227,9,Low
228,9,Low
229,7,Low
230,8,Low
231,9,Low
232,8,Low
233,8,Low
234,8,Low
235,7,Low
236,7,Low
237,9,Low
238,9,Low
239,8,Low
240,7,Low
241,7,Low
242,8,Low
243,8,Low
244,8,Low
245,9,Low
246,9,Low
247,10,Low
248,9,Low
249,8,Low
250,7,Low
251,7,Low
252,7,Low
253,7,Low
254,7,Low
255,7,Low
256,7,Low
257,7,Low
258,7,Low
259,7,Low
260,8,Low
261,8,Low
262,9,Low
263,7,Low
264,8,Low
265,6,Low
266,6,Low
267,5,Low
268,6,Low
269,6,Low
270,5,Low
271,6,Low
272,6,Low
273,6,Low
274,6,Low
275,6,Low
276,6,Low
277,5,Low
278,5,Low
279,5,Low
280,6,Low
281,6,Low
282,6,Low
283,7,Low
284,6,Low
285,8,Low
286,6,Low
287,6,Low
288,6,Low
289,6,Low
290,6,Low
291,6,Low
292,7,Low
293,6,Low
294,7,Low
295,6,Low
296,6,Low
297,8,Low
298,8,Low
299,7,Low
300,8,Low
301,9,Low
302,9,Low
303,9,Low
304,8,Low
305,8,Low
306,7,Low
307,7,Low
308,7,Low
309,7,Low
310,8,Low
311,7,Low
312,7,Low
313,6,Low
314,5,Low
315,5,Low
316,8,Low
317,8,Low
318,8,Low
319,7,Low
320,8,Low
321,6,Low
322,6,Low
323,6,Low
324,5,Low
325,5,Low
326,6,Low
327,4,Low
328,4,Low
329,5,Low
330,5,Low
331,4,Low
332,4,Low
333,4,Low
334,3,Low
335,2,Low
336,3,Low
337,3,Low
338,5,Low
339,4,Low
340,4,Low
341,4,Low
342,4,Low
343,4,Low
344,4,Low
345,3,Low
346,3,Low
347,4,Low
348,3,Low
349,4,Low
350,4,Low
351,4,Low
352,4,Low
353,5,Low
354,4,Low
355,4,Low
356,5,Low
357,6,Low
358,4,Low
359,4,Low
360,5,Low
361,5,Low
362,4,Low
363,6,Low
364,5,Low
365,6,Low
366,6,Low
367,5,Low
368,6,Low
369,5,Low
370,6,Low
371,6,Low
372,7,Low
373,6,Low
374,6,Low
375,5,Low
